timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-09-05T00:00:00.000Z";"2024-09-05T23:59:59.999Z";"2024-09-05T00:00:00.000Z";"2024-09-05T19:56:00.000Z";"2781";0.1328651921;0.1328673646;0.126018216;0.1282087868;14076134.88;487665043.25;"2024-09-05T23:59:59.999Z"
"2024-09-04T00:00:00.000Z";"2024-09-04T23:59:59.999Z";"2024-09-04T23:47:00.000Z";"2024-09-04T01:08:00.000Z";"2781";0.1295815604;0.1331428109;0.1238770725;0.1328651921;20246459.13;505376513.17;"2024-09-04T23:59:59.999Z"
"2024-09-03T00:00:00.000Z";"2024-09-03T23:59:59.999Z";"2024-09-03T02:24:00.000Z";"2024-09-03T23:59:00.000Z";"2781";0.1379416116;0.1411483916;0.1295816083;0.1295831162;16546915.87;492892551;"2024-09-03T23:59:59.999Z"
"2024-09-02T00:00:00.000Z";"2024-09-02T23:59:59.999Z";"2024-09-02T23:40:00.000Z";"2024-09-02T18:57:00.000Z";"2781";0.136229172;0.1387639588;0.134877068;0.1379416116;16464572.27;524685582.54;"2024-09-02T23:59:59.999Z"
"2024-09-01T00:00:00.000Z";"2024-09-01T23:59:59.999Z";"2024-09-01T00:45:00.000Z";"2024-09-01T23:01:00.000Z";"2781";0.1440071242;0.1442663343;0.1340937032;0.136229172;24816960.15;518172012.51;"2024-09-01T23:59:59.999Z"
"2024-08-31T00:00:00.000Z";"2024-08-31T23:59:59.999Z";"2024-08-31T00:46:00.000Z";"2024-08-31T09:01:00.000Z";"2781";0.1433688946;0.1442321018;0.1374358984;0.1440071242;21819904.45;547756844.36;"2024-08-31T23:59:59.999Z"
"2024-08-30T00:00:00.000Z";"2024-08-30T23:59:59.999Z";"2024-08-30T09:58:00.000Z";"2024-08-30T21:24:00.000Z";"2781";0.1568206432;0.1578366356;0.1398284867;0.1433688946;37437239.13;545329223.77;"2024-08-30T23:59:59.999Z"
"2024-08-29T00:00:00.000Z";"2024-08-29T23:59:59.999Z";"2024-08-29T10:22:00.000Z";"2024-08-29T20:52:00.000Z";"2781";0.1639714882;0.1748931053;0.1547305939;0.1568206432;30564513.04;596495354.69;"2024-08-29T23:59:59.999Z"
"2024-08-28T00:00:00.000Z";"2024-08-28T23:59:59.999Z";"2024-08-28T10:20:00.000Z";"2024-08-28T00:26:00.000Z";"2781";0.1632612735;0.176040837;0.1604282759;0.1639714882;35276844.96;623692612.1;"2024-08-28T23:59:59.999Z"
"2024-08-27T00:00:00.000Z";"2024-08-27T23:59:59.999Z";"2024-08-27T07:13:00.000Z";"2024-08-27T22:36:00.000Z";"2781";0.1673247547;0.1782535029;0.1589910288;0.1632945375;29502397.34;620969831.73;"2024-08-27T23:59:59.999Z"
"2024-08-26T00:00:00.000Z";"2024-08-26T23:59:59.999Z";"2024-08-26T00:13:00.000Z";"2024-08-26T12:57:00.000Z";"2781";0.1748241438;0.174980272;0.165437047;0.1673247547;16188985.05;636403273.26;"2024-08-26T23:59:59.999Z"
"2024-08-25T00:00:00.000Z";"2024-08-25T23:59:59.999Z";"2024-08-25T05:33:00.000Z";"2024-08-25T19:05:00.000Z";"2781";0.1782196287;0.1796527086;0.1735706555;0.1748241438;14012256.65;664886562.89;"2024-08-25T23:59:59.999Z"
"2024-08-24T00:00:00.000Z";"2024-08-24T23:59:59.999Z";"2024-08-24T20:10:00.000Z";"2024-08-24T06:16:00.000Z";"2781";0.1771106664;0.1810179803;0.1734829075;0.1782196287;12143996.95;677751992.8;"2024-08-24T23:59:59.999Z"
"2024-08-23T00:00:00.000Z";"2024-08-23T23:59:59.999Z";"2024-08-23T22:31:00.000Z";"2024-08-23T14:55:00.000Z";"2781";0.1717237495;0.1790270134;0.1643426855;0.1771106664;19856334.58;673486464.17;"2024-08-23T23:59:59.999Z"
"2024-08-22T00:00:00.000Z";"2024-08-22T23:59:59.999Z";"2024-08-22T09:01:00.000Z";"2024-08-22T00:00:00.000Z";"2781";0.1679007529;0.1734558893;0.167888383;0.1717237495;15571605.49;652955376.78;"2024-08-22T23:59:59.999Z"
"2024-08-21T00:00:00.000Z";"2024-08-21T23:59:59.999Z";"2024-08-21T23:58:00.000Z";"2024-08-21T01:37:00.000Z";"2781";0.1585242137;0.1679105962;0.1552126832;0.1679007529;16874476.15;638326685.87;"2024-08-21T23:59:59.999Z"
"2024-08-20T00:00:00.000Z";"2024-08-20T23:59:59.999Z";"2024-08-20T09:37:00.000Z";"2024-08-20T00:25:00.000Z";"2781";0.1530833046;0.1619290031;0.1525175861;0.1585242137;21103333.69;602680230.99;"2024-08-20T23:59:59.999Z"
"2024-08-19T00:00:00.000Z";"2024-08-19T23:59:59.999Z";"2024-08-19T05:05:00.000Z";"2024-08-19T00:13:00.000Z";"2781";0.14911621;0.1567831529;0.148950412;0.1530833046;27575744.37;581831335.96;"2024-08-19T23:59:59.999Z"
"2024-08-18T00:00:00.000Z";"2024-08-18T23:59:59.999Z";"2024-08-18T19:12:00.000Z";"2024-08-18T04:37:00.000Z";"2781";0.1492412586;0.1523488571;0.1460875391;0.14911621;25612247;566753402.2;"2024-08-18T23:59:59.999Z"
"2024-08-17T00:00:00.000Z";"2024-08-17T23:59:59.999Z";"2024-08-17T23:06:00.000Z";"2024-08-17T00:37:00.000Z";"2781";0.1282999433;0.1506419613;0.1278254271;0.1492412586;29493216.7;567228680.47;"2024-08-17T23:59:59.999Z"
"2024-08-16T00:00:00.000Z";"2024-08-16T23:59:59.999Z";"2024-08-16T12:05:00.000Z";"2024-08-16T02:18:00.000Z";"2781";0.1281342516;0.1309265266;0.1262531752;0.1282999433;12426109.62;487633800.65;"2024-08-16T23:59:59.999Z"
"2024-08-15T00:00:00.000Z";"2024-08-15T23:59:59.999Z";"2024-08-15T15:23:00.000Z";"2024-08-15T21:00:00.000Z";"2781";0.1288712969;0.1312968184;0.1246328004;0.1281342516;11807598.37;486969392.12;"2024-08-15T23:59:59.999Z"
"2024-08-14T00:00:00.000Z";"2024-08-14T23:59:59.999Z";"2024-08-14T04:38:00.000Z";"2024-08-14T14:13:00.000Z";"2781";0.1313997427;0.1336990331;0.1284559333;0.1288712969;10766396.87;489735559.64;"2024-08-14T23:59:59.999Z"
